time_s	surface_excess_mol_m2	dynamic_surface_tension_N_m
0.0	0.0	71.9
0.5	2.2440574556615448e-08	71.89994424170115
1.0	3.253109792988998e-08	71.89991906470404
1.5	4.0354723751658726e-08	71.89989949873781
2.0	4.700145934547316e-08	71.89988284493029
2.5	5.289500959434065e-08	71.89986805428956
3.0	5.825305034568222e-08	71.89985458795452
3.5	6.320502863015483e-08	71.8998421255068
4.0	6.783534879710737e-08	71.89983045804114
4.5	7.220267081891641e-08	71.8998194403846
5.0	7.634972333184422e-08	71.8998089668013
5.5	8.030877454587586e-08	71.89979895744807
6.0	8.410490121125866e-08	71.89978935028174
6.5	8.775805074131334e-08	71.89978009595437
7.0	9.128440012461289e-08	71.89977115444944
7.5	9.469728424681005e-08	71.89976249278386
8.0	9.800784949754868e-08	71.89975408339026
8.5	1.0122552593893591e-07	71.89974590294823
9.0	1.0435837604354352e-07	71.89973793152124
9.5	1.0741335728842259e-07	71.89973015190678
10.0	1.1039652326823709e-07	71.89972254913856
10.5	1.1331318005651431e-07	71.8997151100996
11.0	1.16168009416137e-07	71.89970782321737
11.5	1.189651670652586e-07	71.89970067822053
12.0	1.2170836190692546e-07	71.89969366594296
12.5	1.244009205446499e-07	71.89968677816417
13.0	1.2704584029228255e-07	71.89968000747801
13.5	1.296458330909129e-07	71.8996733471841
14.0	1.3220336216967616e-07	71.89966679119713
14.5	1.3472067286401557e-07	71.89966033397062
15.0	1.3719981869085586e-07	71.89965397043235
15.5	1.3964268354345522e-07	71.89964769592954
16.0	1.4205100068923582e-07	71.89964150618182
16.5	1.4442636911618273e-07	71.89963539724077
17.0	1.4677026766634698e-07	71.89962936545501
17.5	1.4908406731225376e-07	71.89962340743982
18.0	1.513690418657165e-07	71.89961752005063
18.5	1.5362637735732375e-07	71.89961170035983
19.0	1.5585718028257848e-07	71.89960594563644
19.5	1.5806248487801629e-07	71.899600253328
20.0	1.6024325956298942e-07	71.89959462104476
20.5	1.6240041266133745e-07	71.89958904654544
21.0	1.645347974988096e-07	71.8995835277247
21.5	1.6664721695769355e-07	71.89957806260179
22.0	1.6873842755748233e-07	71.89957264931057
22.5	1.7080914312069345e-07	71.89956728609035
23.0	1.728600380740787e-07	71.89956197127776
23.5	1.7489175042876063e-07	71.89955670329942
24.0	1.769048844765046e-07	71.89955148066525
24.5	1.789000132346526e-07	71.89954630196239
25.0	1.8087768066759777e-07	71.89954116584974
25.5	1.828384037094703e-07	71.89953607105299
26.0	1.8478267410916243e-07	71.89953101636
26.5	1.8671096011652455e-07	71.89952600061667
27.0	1.8862370802612044e-07	71.89952102272315
